shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
PRC01_1,14.551738780383332,121.01363321843144,1
PRC01_1,14.55406845089854,121.01378706109989,2
PRC01_1,14.55737619914737,121.01312882874504,3
PRC01_1,14.557719265121193,121.01300990848426,4
PRC01_1,14.561187817557084,121.01114839724045,5
PRC01_1,14.56153664420657,121.01103038098398,6
PRC01_1,14.56194915276545,121.01095922450872,7
PRC01_1,14.562364943600159,121.01093416125047,8
PRC01_1,14.562633489712852,121.01096061450511,9
PRC01_1,14.563119771539661,121.01110482641792,10
PRC01_1,14.563642241938425,121.01132569928126,11
PRC01_1,14.566984016307202,121.01307219749225,12
PRC01_1,14.566889673076886,121.0132479721766,13

PRC01_WALK,14.567057543880438,121.01314078057248,1 
PRC01_WALK,14.566914139509223,121.01319581414873,2
PRC01_WALK,14.566796016639955,121.01344360034625,3
PRC01_WALK,14.566639307931595,121.01343018211395,4
PRC01_WALK,14.566531549412346,121.01547141977971,5
PRC01_WALK,14.566501440488565,121.01548475215628,6

PRC02_2,14.55097483,121.01355777,1
PRC02_2,14.551420121544623,121.01358610407311,2
PRC02_2,14.551745111606209,121.01364715146286,3
PRC02_2,14.553927649681654,121.01379676024658,4
PRC02_2,14.554284951169777,121.01376466071525,5
PRC02_2,14.55667343471113,121.01330322350816,6
PRC02_2,14.557415219855187,121.01314874236658,7
PRC02_2,14.557634647815263,121.01306447989072,8
PRC02_2,14.560487193330701,121.01152969996525,9
PRC02_2,14.560607585952837,121.01144945016915,10
PRC02_2,14.561141583942245,121.01117459399461,11
PRC02_2,14.561535770720297,121.01104017528115,12
PRC02_2,14.561693058952343,121.01099603887582,13
PRC02_2,14.562102779153278,121.010943876402,14
PRC02_2,14.562559101695413,121.01095992639625,15
PRC02_2,14.562891147629003,121.01101810698327,16
PRC02_2,14.563421256513195,121.01122475067615,17
PRC02_2,14.565112547362546,121.0121034877489,18
PRC02_2,14.567067906400169,121.01313469910764,19





